Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.99,,2018-07-02 09:53:13,2018-07-02 09:53:33,20.588s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.99,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-07-02 09:53:13,2018-07-02 09:53:23,9.977s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:14,2018-07-02 09:53:14,0.059s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:14,2018-07-02 09:53:14,0.013s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 09:53:14,2018-07-02 09:53:20,6.357s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 09:53:20,2018-07-02 09:53:21,0.659s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 09:53:21,2018-07-02 09:53:21,0.342s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 09:53:21,2018-07-02 09:53:22,0.341s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:22,2018-07-02 09:53:22,0.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 09:53:22,2018-07-02 09:53:22,0.755s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:22,2018-07-02 09:53:22,0.000s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.99,,2018-07-02 09:53:22,2018-07-02 09:53:22,0.128s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-02 09:53:22,2018-07-02 09:53:23,0.759s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.99,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-07-02 09:53:23,2018-07-02 09:53:33,9.953s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:23,2018-07-02 09:53:23,0.003s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:23,2018-07-02 09:53:23,0.001s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 09:53:23,2018-07-02 09:53:28,4.843s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-02 09:53:28,2018-07-02 09:53:30,2.096s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:30,2018-07-02 09:53:30,0.001s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-02 09:53:30,2018-07-02 09:53:32,1.212s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:32,0.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:32,0.408s,PASSED
verifyTextPresent,Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:32,0.129s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:32,0.001s,PASSED
Statement - If (true),Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:32,0.294s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-02 09:53:32,2018-07-02 09:53:33,0.715s,PASSED
,,,,,,
Test Cases/Main Test Cases/A failed test case,Chrome 67.0.3396.99,,2018-07-02 09:53:33,2018-07-02 09:53:33,0.157s,FAILED
verifyAlertPresent,Chrome 67.0.3396.99,,2018-07-02 09:53:33,2018-07-02 09:53:33,0.025s,FAILED
